wavelength,,Diatoms (pennate),Chlorophytes,Diatoms (centric),Cryptophytes,Cyanobacteria (blue),Cyanobacteria (red),Dinoflagellates,Eustigmatophytes,Haptophytes: Pavlovaceae,Pelagophytes,Prasinophytes,Prochlorococcus,Haptophytes: Prymnesiaceae,Raphidophytes,Rhodophytes,Synechococcus spp,Microcystis-like (vacuolate)
727,,0.000577,0.000356,0.000079,0.000434,0.000629,0.000314,0.000108,0.000194,0.000658,0.000010,0.000048,0.001702,0.000297,0.000052,0.000653,0.000695,0.002167
728,,0.000552,0.000327,0.000074,0.000409,0.000600,0.000223,0.000100,0.000138,0.000646,0.000009,0.000047,0.001665,0.000285,0.000045,0.000644,0.000674,0.001954
729,,0.000534,0.000301,0.000071,0.000388,0.000577,0.000156,0.000093,0.000100,0.000637,0.000008,0.000046,0.001637,0.000277,0.000041,0.000633,0.000655,0.001826
730,,0.000521,0.000279,0.000070,0.000369,0.000558,0.000111,0.000088,0.000090,0.000631,0.000007,0.000046,0.001617,0.000272,0.000039,0.000622,0.000637,0.001685
731,,0.000514,0.000259,0.000072,0.000354,0.000541,0.000086,0.000083,0.000082,0.000626,0.000005,0.000045,0.001606,0.000270,0.000039,0.000611,0.000620,0.001582
732,,0.000510,0.000242,0.000074,0.000340,0.000528,0.000076,0.000080,0.000077,0.000624,0.000004,0.000045,0.001600,0.000270,0.000040,0.000599,0.000605,0.001501
733,,0.000510,0.000227,0.000080,0.000329,0.000517,0.000081,0.000081,0.000092,0.000623,0.000003,0.000067,0.001600,0.000272,0.000043,0.000587,0.000592,0.001353
734,,0.000513,0.000214,0.000090,0.000320,0.000509,0.000096,0.000089,0.000116,0.000628,0.000022,0.000093,0.001604,0.000281,0.000047,0.000575,0.000579,0.001226
735,,0.000518,0.000203,0.000101,0.000312,0.000502,0.000120,0.000103,0.000145,0.000635,0.000073,0.000152,0.001611,0.000294,0.000051,0.000563,0.000567,0.001142
736,,0.000525,0.000193,0.000113,0.000306,0.000497,0.000150,0.000118,0.000178,0.000643,0.000126,0.000212,0.001620,0.000308,0.000056,0.000551,0.000557,0.001048
737,,0.000531,0.000184,0.000125,0.000300,0.000493,0.000183,0.000133,0.000214,0.000651,0.000178,0.000273,0.001631,0.000322,0.000062,0.000539,0.000547,0.000908
738,,0.000538,0.000177,0.000136,0.000295,0.000490,0.000217,0.000148,0.000249,0.000659,0.000228,0.000331,0.001641,0.000336,0.000067,0.000527,0.000539,0.000915
739,,0.000544,0.000170,0.000147,0.000290,0.000488,0.000249,0.000162,0.000282,0.000666,0.000274,0.000385,0.001650,0.000348,0.000072,0.000516,0.000531,0.000866
740,,0.000548,0.000164,0.000156,0.000285,0.000485,0.000276,0.000172,0.000310,0.000671,0.000312,0.000432,0.001657,0.000359,0.000077,0.000506,0.000523,0.000682
741,,0.000550,0.000157,0.000163,0.000279,0.000483,0.000295,0.000180,0.000333,0.000675,0.000343,0.000471,0.001662,0.000367,0.000081,0.000496,0.000516,0.000551
742,,0.000550,0.000152,0.000168,0.000273,0.000480,0.000309,0.000185,0.000350,0.000677,0.000364,0.000500,0.001663,0.000372,0.000084,0.000487,0.000510,0.000502
743,,0.000547,0.000146,0.000172,0.000267,0.000477,0.000316,0.000186,0.000361,0.000678,0.000378,0.000522,0.001662,0.000374,0.000086,0.000478,0.000504,0.000497
744,,0.000543,0.000140,0.000174,0.000260,0.000475,0.000317,0.000185,0.000367,0.000677,0.000385,0.000537,0.001658,0.000375,0.000088,0.000470,0.000499,0.000405
745,,0.000538,0.000135,0.000174,0.000254,0.000472,0.000313,0.000182,0.000368,0.000674,0.000386,0.000545,0.001652,0.000373,0.000089,0.000463,0.000494,0.000406
746,,0.000531,0.000130,0.000174,0.000247,0.000470,0.000304,0.000177,0.000366,0.000671,0.000381,0.000548,0.001645,0.000370,0.000089,0.000457,0.000490,0.000476
747,,0.000522,0.000125,0.000172,0.000240,0.000468,0.000292,0.000171,0.000359,0.000666,0.000371,0.000544,0.001635,0.000365,0.000090,0.000451,0.000487,0.000425
748,,0.000513,0.000120,0.000169,0.000233,0.000465,0.000276,0.000162,0.000350,0.000661,0.000356,0.000537,0.001625,0.000358,0.000089,0.000445,0.000484,0.000424
749,,0.000503,0.000116,0.000166,0.000226,0.000463,0.000258,0.000153,0.000338,0.000655,0.000337,0.000525,0.001613,0.000351,0.000089,0.000441,0.000481,0.000408
750,,0.000493,0.000112,0.000161,0.000219,0.000459,0.000238,0.000143,0.000323,0.000648,0.000315,0.000509,0.001600,0.000342,0.000088,0.000437,0.000479,0.000340
751,,0.000482,0.000108,0.000156,0.000212,0.000456,0.000216,0.000132,0.000306,0.000641,0.000291,0.000491,0.001586,0.000333,0.000086,0.000433,0.000478,0.000249
752,,0.000472,0.000104,0.000151,0.000205,0.000453,0.000192,0.000120,0.000289,0.000633,0.000265,0.000471,0.001573,0.000323,0.000085,0.000430,0.000477,0.000229
753,,0.000461,0.000101,0.000146,0.000199,0.000451,0.000168,0.000109,0.000270,0.000626,0.000237,0.000449,0.001559,0.000313,0.000083,0.000427,0.000477,0.000209
754,,0.000450,0.000098,0.000140,0.000192,0.000448,0.000143,0.000098,0.000250,0.000618,0.000209,0.000427,0.001545,0.000303,0.000081,0.000425,0.000478,0.000193
755,,0.000441,0.000095,0.000134,0.000187,0.000447,0.000118,0.000088,0.000231,0.000611,0.000181,0.000404,0.001531,0.000293,0.000080,0.000423,0.000479,0.000230
756,,0.000431,0.000092,0.000128,0.000181,0.000445,0.000096,0.000078,0.000211,0.000604,0.000154,0.000381,0.001518,0.000283,0.000078,0.000422,0.000480,0.000216
757,,0.000423,0.000089,0.000123,0.000176,0.000444,0.000075,0.000069,0.000193,0.000597,0.000128,0.000359,0.001506,0.000274,0.000076,0.000422,0.000483,0.000184
758,,0.000416,0.000087,0.000118,0.000172,0.000443,0.000056,0.000062,0.000176,0.000591,0.000104,0.000339,0.001495,0.000266,0.000074,0.000421,0.000485,0.000172
759,,0.000410,0.000085,0.000114,0.000168,0.000442,0.000041,0.000058,0.000161,0.000585,0.000083,0.000322,0.001485,0.000259,0.000073,0.000422,0.000489,0.000198
760,,0.000406,0.000083,0.000110,0.000165,0.000442,0.000029,0.000054,0.000147,0.000581,0.000065,0.000307,0.001477,0.000253,0.000072,0.000422,0.000493,0.000144
761,,0.000404,0.000082,0.000107,0.000163,0.000442,0.000020,0.000053,0.000137,0.000577,0.000059,0.000295,0.001471,0.000249,0.000071,0.000423,0.000497,0.000057
762,,0.000403,0.000081,0.000106,0.000161,0.000442,0.000022,0.000054,0.000129,0.000575,0.000055,0.000287,0.001466,0.000246,0.000070,0.000425,0.000502,0.000079
763,,0.000404,0.000080,0.000105,0.000160,0.000443,0.000025,0.000055,0.000123,0.000574,0.000053,0.000282,0.001463,0.000245,0.000070,0.000426,0.000508,0.000185
764,,0.000406,0.000079,0.000104,0.000159,0.000444,0.000028,0.000057,0.000119,0.000574,0.000052,0.000280,0.001461,0.000244,0.000069,0.000428,0.000514,0.000206
765,,0.000409,0.000079,0.000104,0.000159,0.000445,0.000030,0.000062,0.000117,0.000574,0.000052,0.000280,0.001461,0.000244,0.000069,0.000430,0.000520,0.000162
766,,0.000413,0.000078,0.000104,0.000160,0.000446,0.000034,0.000068,0.000117,0.000574,0.000052,0.000283,0.001462,0.000245,0.000069,0.000433,0.000526,0.000191
767,,0.000418,0.000078,0.000104,0.000160,0.000447,0.000037,0.000075,0.000118,0.000574,0.000054,0.000287,0.001464,0.000247,0.000069,0.000435,0.000533,0.000122
768,,0.000424,0.000078,0.000105,0.000162,0.000449,0.000048,0.000083,0.000121,0.000576,0.000057,0.000293,0.001467,0.000249,0.000070,0.000438,0.000539,0.000145
769,,0.000430,0.000077,0.000107,0.000163,0.000450,0.000060,0.000091,0.000125,0.000578,0.000060,0.000301,0.001471,0.000251,0.000070,0.000440,0.000546,0.000147
770,,0.000437,0.000077,0.000109,0.000165,0.000451,0.000074,0.000100,0.000130,0.000581,0.000064,0.000310,0.001475,0.000254,0.000071,0.000443,0.000552,0.000086
771,,0.000444,0.000078,0.000111,0.000167,0.000451,0.000089,0.000110,0.000135,0.000583,0.000068,0.000320,0.001481,0.000258,0.000072,0.000445,0.000559,0.000059
772,,0.000452,0.000078,0.000113,0.000169,0.000452,0.000104,0.000120,0.000142,0.000587,0.000073,0.000331,0.001486,0.000263,0.000072,0.000448,0.000565,0.000055
773,,0.000459,0.000078,0.000116,0.000171,0.000452,0.000120,0.000130,0.000149,0.000590,0.000084,0.000343,0.001492,0.000267,0.000073,0.000450,0.000570,0.000031
774,,0.000467,0.000078,0.000119,0.000173,0.000452,0.000135,0.000140,0.000156,0.000593,0.000096,0.000355,0.001498,0.000272,0.000074,0.000452,0.000575,0.000102
775,,0.000474,0.000078,0.000121,0.000176,0.000451,0.000150,0.000150,0.000163,0.000596,0.000107,0.000366,0.001504,0.000277,0.000075,0.000454,0.000580,0.000101
776,,0.000481,0.000079,0.000124,0.000178,0.000450,0.000165,0.000159,0.000170,0.000600,0.000119,0.000378,0.001509,0.000281,0.000076,0.000456,0.000584,0.000058
777,,0.000488,0.000079,0.000126,0.000180,0.000449,0.000179,0.000168,0.000177,0.000603,0.000130,0.000389,0.001515,0.000286,0.000076,0.000457,0.000588,0.000058
778,,0.000494,0.000079,0.000129,0.000182,0.000447,0.000191,0.000176,0.000183,0.000606,0.000140,0.000400,0.001520,0.000290,0.000077,0.000458,0.000591,0.000080
779,,0.000499,0.000079,0.000131,0.000184,0.000444,0.000202,0.000183,0.000189,0.000608,0.000149,0.000409,0.001525,0.000293,0.000078,0.000458,0.000593,0.000080
780,,0.000503,0.000079,0.000133,0.000186,0.000440,0.000211,0.000188,0.000194,0.000611,0.000157,0.000417,0.001529,0.000296,0.000079,0.000458,0.000594,0.000023
