wavelength,a_Ci_2_Deff_0_4,a_Ci_2_Deff_0_8,a_Ci_2_Deff_1_2,a_Ci_2_Deff_1_8,a_Ci_5_Deff_0_4,a_Ci_5_Deff_0_8,a_Ci_5_Deff_1_2,a_Ci_5_Deff_1_8,a_Ci_8_Deff_0_4,a_Ci_8_Deff_0_8,a_Ci_8_Deff_1_2,a_Ci_8_Deff_1_8,b_Ci_2_Deff_0_4,b_Ci_2_Deff_0_8,b_Ci_2_Deff_1_2,b_Ci_2_Deff_1_8,b_Ci_5_Deff_0_4,b_Ci_5_Deff_0_8,b_Ci_5_Deff_1_2,b_Ci_5_Deff_1_8,b_Ci_8_Deff_0_4,b_Ci_8_Deff_0_8,b_Ci_8_Deff_1_2,b_Ci_8_Deff_1_8,bb_Ci_2_Deff_0_4,bb_Ci_2_Deff_0_8,bb_Ci_2_Deff_1_2,bb_Ci_2_Deff_1_8,bb_Ci_5_Deff_0_4,bb_Ci_5_Deff_0_8,bb_Ci_5_Deff_1_2,bb_Ci_5_Deff_1_8,bb_Ci_8_Deff_0_4,bb_Ci_8_Deff_0_8,bb_Ci_8_Deff_1_2,bb_Ci_8_Deff_1_8
4.099999999999999756e-01,1.623590813478079375e-01,1.544248441906964919e-01,1.449791337521059709e-01,1.316043339056434669e-01,1.443668855498184689e-01,1.254614470644864754e-01,1.095752343263800138e-01,9.169274927994246205e-02,1.319997668651818612e-01,1.072339167124224529e-01,8.924670629040981629e-02,7.102563334489878089e-02,1.205649827992829326e-01,2.216352986688539251e-01,2.848307225752174654e-01,3.266213402978325187e-01,5.072810066043743904e-02,8.520619476450318197e-02,1.024358659304215463e-01,1.098143127966699356e-01,3.648745884563789343e-02,5.679965529170578897e-02,6.464093101541840136e-02,6.566461766548256640e-02,2.887923096293945179e-03,3.338178613664358717e-03,3.027201616861817032e-03,2.320517808102979737e-03,1.527762830304626269e-03,1.690032615115479985e-03,1.476837788761584200e-03,1.092594914326657472e-03,1.394362660282669805e-03,1.490681701439534055e-03,1.273526129487367528e-03,9.280809769727738036e-04
4.109999999999999765e-01,1.643160370691600647e-01,1.561357184867214754e-01,1.464634711124503386e-01,1.328205943146310575e-01,1.460461342523577399e-01,1.266984293235333958e-01,1.105106415838672390e-01,9.234519548206923667e-02,1.334338173836936703e-01,1.081627974116217694e-01,8.988381612118991060e-02,7.142252959197940843e-02,1.201002616071718265e-01,2.206611984220522293e-01,2.834890691109141492e-01,3.250298198617426748e-01,5.069832118641046104e-02,8.502969094863668809e-02,1.021148484972783516e-01,1.093650283096796461e-01,3.662099334056675981e-02,5.687810834509281904e-02,6.462675123914658759e-02,6.555360889890614329e-02,2.883708598972467129e-03,3.333640539452905650e-03,3.024166220700638327e-03,2.318820628655066888e-03,1.538726443147184772e-03,1.702219337131494854e-03,1.487876296925216791e-03,1.101162864207022281e-03,1.413401011165393590e-03,1.510563185248834858e-03,1.290704600945912113e-03,9.410203370300021996e-04
4.119999999999999774e-01,1.661055952199418928e-01,1.576977735874556807e-01,1.478171162688635132e-01,1.339283058147897054e-01,1.475822666533253280e-01,1.278269388563600950e-01,1.113623089066525240e-01,9.293779124808787540e-02,1.347441260062081647e-01,1.090087096014167034e-01,9.046256599327928694e-02,7.178194050039725382e-02,1.195060765390536378e-01,2.194869963128294188e-01,2.819310205918066359e-01,3.232547352304789845e-01,5.061297185043426433e-02,8.477843787018439492e-02,1.017221732924266653e-01,1.088635202195729901e-01,3.671196630267227479e-02,5.690453201958553531e-02,6.456613140949066243e-02,6.541067212345012816e-02,2.879042709194134467e-03,3.329357746899236706e-03,3.021629027922441337e-03,2.317672032631544390e-03,1.548688900097200437e-03,1.713632905610442195e-03,1.498369098707300192e-03,1.109397886996459168e-03,1.430963475008994968e-03,1.529138151698959149e-03,1.306879778844528741e-03,9.532851936680637956e-04
4.129999999999999782e-01,1.677323154008893702e-01,1.591152448538047104e-01,1.490436717466367411e-01,1.349303275913865674e-01,1.489795972065403040e-01,1.288506635308239168e-01,1.121331625571338475e-01,9.347270152216038963e-02,1.359349159939771123e-01,1.097749552838146597e-01,9.098541002497401164e-02,7.210554776613244121e-02,1.190334777029306845e-01,2.185375168390461809e-01,2.806575816087741870e-01,3.217846968995960455e-01,5.056208564431720343e-02,8.459445396640603854e-02,1.014171482388989132e-01,1.084586380794299587e-01,3.681127022012867928e-02,5.695436852039824360e-02,6.453992218512466517e-02,6.530821282306849274e-02,2.874493004417673359e-03,3.324861088114854091e-03,3.018928356113247981e-03,2.316498798176024575e-03,1.557902833560629273e-03,1.724148513659240142e-03,1.508117717477819785e-03,1.117122591217502379e-03,1.447260982791770184e-03,1.546386870744623828e-03,1.321974959725755096e-03,9.647949857006672941e-04
4.139999999999999791e-01,1.691921006102763969e-01,1.603856751105146861e-01,1.501420761779166946e-01,1.358268617003179912e-01,1.502357544991106686e-01,1.297691315356759578e-01,1.128237441895970361e-01,9.395102954707609810e-02,1.370048470746272895e-01,1.104618059790638818e-01,9.145322457106393188e-02,7.239438955614188598e-02,1.184528400290221217e-01,2.174233810681288348e-01,2.792086171469300715e-01,3.201694217131185183e-01,5.046235269984806343e-02,8.434606926011911643e-02,1.010516096721177648e-01,1.080110433267103265e-01,3.687118566932524183e-02,5.695704720370450141e-02,6.447231861415271548e-02,6.517781535682035110e-02,2.869474498618931196e-03,3.320494663033805600e-03,3.016584440304397215e-03,2.315749752280128141e-03,1.566039317020437435e-03,1.733772952888513715e-03,1.517209121733834216e-03,1.124427184027301753e-03,1.461983806677172792e-03,1.562213825909216031e-03,1.335964020120475847e-03,9.755501896670147827e-04
4.149999999999999800e-01,1.704887971538439628e-01,1.615125851712822247e-01,1.511152724231294431e-01,1.366201850120973282e-01,1.513543575126309881e-01,1.305853609863494302e-01,1.134364007483533721e-01,9.437447515209777815e-02,1.379574153900203770e-01,1.110719275488219748e-01,9.186795195527397428e-02,7.264977083968522653e-02,1.179765096226306348e-01,2.165039775622179807e-01,2.780082423494077415e-01,3.188233205748061683e-01,5.038976727385546112e-02,8.415299107189577743e-02,1.007597704212659651e-01,1.076462159504961852e-01,3.693460327755306027e-02,5.697597245465766541e-02,6.443116887052954822e-02,6.508021203817805633e-02,2.864480239412833720e-03,3.315865041785558825e-03,3.014037470718104045e-03,2.314938231476367913e-03,1.573321359496019679e-03,1.742406434554043520e-03,1.525478688690438045e-03,1.131162728668649734e-03,1.475319471840429901e-03,1.576607919931095978e-03,1.348785185360504421e-03,9.854837141774698724e-04
4.159999999999999809e-01,1.716186399456105238e-01,1.624936447835692299e-01,1.519621372479211252e-01,1.373102646718751818e-01,1.523331571935168105e-01,1.312987317714853219e-01,1.139713979043948527e-01,9.474381133330651850e-02,1.387912689085685214e-01,1.116053603585143300e-01,9.223017410869875643e-02,7.287244540180820573e-02,1.174076730643943411e-01,2.154454751560846149e-01,2.766616911839271387e-01,3.173593932853867594e-01,5.027307869599891704e-02,8.390274288755612819e-02,1.004151352386731116e-01,1.072451694741006351e-01,3.696078875091284022e-02,5.695104282364006620e-02,6.435201218712573168e-02,6.495728672694692230e-02,2.858996773467015629e-03,3.311262614433341592e-03,3.011733672579004154e-03,2.314452455677325129e-03,1.579459039664539519e-03,1.750049381712467673e-03,1.532997299446521534e-03,1.137404230546581454e-03,1.486994635350160883e-03,1.589481256548393867e-03,1.360411606603273210e-03,9.945929313750806640e-04
4.169999999999999818e-01,1.725849744273330044e-01,1.633317900787309429e-01,1.526850445648489374e-01,1.378988576276834466e-01,1.531751625210528434e-01,1.319116728944127459e-01,1.144305712120786966e-01,9.506032500082030323e-02,1.395092634091348593e-01,1.120642114961697688e-01,9.254138569749806309e-02,7.306339076359666396e-02,1.169298554699879228e-01,2.145586140787236196e-01,2.755359872044215175e-01,3.161370374414330664e-01,5.017787641813695881e-02,8.369855058945067927e-02,1.001334278307269288e-01,1.069162138105543419e-01,3.698672594051213153e-02,5.693681117614443621e-02,6.429316966463044514e-02,6.486125213744209361e-02,2.853462149979120888e-03,3.306351120066887764e-03,3.009189582987612833e-03,2.313872169870618244e-03,1.584654135212020844e-03,1.756621421447512399e-03,1.539626239595784070e-03,1.143024691974060380e-03,1.497180270340589189e-03,1.600829912348375678e-03,1.370793264198271908e-03,1.002821299946098218e-03
4.179999999999999827e-01,1.733843049795241731e-01,1.640247476474966104e-01,1.532827656675332939e-01,1.383856906945378773e-01,1.538781762323903901e-01,1.324233860402299623e-01,1.148139093847583142e-01,9.532447880375344296e-02,1.401099879294246120e-01,1.124482723287806296e-01,9.280188070902611885e-02,7.322309737492706250e-02,1.163713008924651821e-01,2.135519277695069051e-01,2.742861836578137091e-01,3.148174701347014048e-01,5.004210899171796650e-02,8.344252431277567050e-02,9.980458266455254079e-02,1.065557729815674037e-01,3.697700495292347705e-02,5.688110332979944700e-02,6.419873733127468007e-02,6.474174026849920105e-02,2.847419006051220627e-03,3.301381326505991882e-03,3.006795329916092316e-03,2.313540432135523326e-03,1.588648797680364266e-03,1.762120281345079227e-03,1.545425913751324615e-03,1.148089308064953679e-03,1.505633652287547038e-03,1.610574191821623723e-03,1.379904610317699964e-03,1.010165346669601380e-03
4.189999999999999836e-01,1.740194147121979507e-01,1.645749146791935513e-01,1.537571634798352016e-01,1.387720615125837553e-01,1.544446772628139675e-01,1.328357756863281780e-01,1.151227864287207303e-01,9.553718447361393695e-02,1.405957465559429798e-01,1.127591606925523599e-01,9.301275979180101405e-02,7.335225431247548167e-02,1.158932536705512134e-01,2.126986137844593117e-01,2.732353059553202512e-01,3.137177429858013511e-01,4.992336512529737397e-02,8.322526048573758439e-02,9.953019548095098923e-02,1.062590766663325387e-01,3.696408849829725674e-02,5.683172371095336628e-02,6.411979971453843352e-02,6.464451994345442321e-02,2.841263851050770343e-03,3.296062212135920152e-03,3.004126537428569287e-03,2.313086745771693320e-03,1.591629226508276549e-03,1.766481326447892457e-03,1.550278229495776318e-03,1.152488773638828687e-03,1.512513929591224795e-03,1.618716520259255677e-03,1.387705371874415304e-03,1.016577464163279272e-03
