wavelength,a_Ci_2_Deff_2,a_Ci_2_Deff_6,a_Ci_2_Deff_12,a_Ci_2_Deff_24,a_Ci_2_Deff_48,a_Ci_5_Deff_2,a_Ci_5_Deff_6,a_Ci_5_Deff_12,a_Ci_5_Deff_24,a_Ci_5_Deff_48,a_Ci_8_Deff_2,a_Ci_8_Deff_6,a_Ci_8_Deff_12,a_Ci_8_Deff_24,a_Ci_8_Deff_48,b_Ci_2_Deff_2,b_Ci_2_Deff_6,b_Ci_2_Deff_12,b_Ci_2_Deff_24,b_Ci_2_Deff_48,b_Ci_5_Deff_2,b_Ci_5_Deff_6,b_Ci_5_Deff_12,b_Ci_5_Deff_24,b_Ci_5_Deff_48,b_Ci_8_Deff_2,b_Ci_8_Deff_6,b_Ci_8_Deff_12,b_Ci_8_Deff_24,b_Ci_8_Deff_48,bb_Ci_2_Deff_2,bb_Ci_2_Deff_6,bb_Ci_2_Deff_12,bb_Ci_2_Deff_24,bb_Ci_3_Deff_48,bb_Ci_5_Deff_2,bb_Ci_5_Deff_6,bb_Ci_5_Deff_12,bb_Ci_5_Deff_24,bb_Ci_5_Deff_48,bb_Ci_8_Deff_2,bb_Ci_8_Deff_6,bb_Ci_8_Deff_12,bb_Ci_8_Deff_24,bb_Ci_8_Deff_48
4.099999999999999756e-01,1.236132032415264703e-01,7.569265340598912983e-02,4.798698257208805495e-02,2.799531881439041442e-02,1.786617241396710326e-02,8.434883022872145808e-02,4.121903970299661824e-02,2.296167307265006147e-02,1.219070208180764170e-02,7.398807176719850859e-03,6.441463033967854968e-02,2.805341339868784589e-02,1.486452335245741496e-02,7.674790184752502270e-03,4.603524137049862242e-03,3.353484753152171649e-01,1.898866849315657968e-01,8.691400896992698688e-02,3.866678870159561549e-02,2.136098367065386583e-02,1.110202779702275794e-01,6.002462843277683868e-02,2.936572337504503305e-02,1.410934093213880858e-02,8.195978340614510152e-03,6.528428166380194353e-02,3.401408182342741116e-02,1.733917186031298102e-02,8.642907384189938563e-03,5.112033721230748937e-03,2.116917367940431005e-03,5.579722630355698912e-04,2.129688112893918250e-04,8.533356607112629780e-05,4.429047234002195824e-05,9.635669276733440768e-04,2.410252688821284668e-04,9.560134579865434070e-05,4.188106863903191178e-05,2.348517864148836444e-05,8.032300022091019799e-04,2.049467382495406137e-04,8.534852655791914423e-05,3.920105007371940144e-05,2.256691038697863314e-05
4.109999999999999765e-01,1.241304280238914037e-01,7.590240415584656453e-02,4.807342014962287524e-02,2.802275632557671425e-02,1.787485536643734427e-02,8.462596685151968501e-02,4.128359164534452924e-02,2.297881071088862803e-02,1.219373265715426383e-02,7.398952977396152167e-03,6.458107072813601413e-02,2.807905316051399064e-02,1.486841345462666317e-02,7.674201341076901384e-03,4.602534251128243339e-03,3.341916056527439172e-01,1.895189350258053851e-01,8.680631680473296918e-02,3.863778163793628317e-02,2.135249974010286142e-02,1.106736737430150663e-01,5.989538837752126504e-02,2.933304527356923874e-02,1.410361173349835781e-02,8.195348519320303643e-03,6.516146712843093325e-02,3.396317969341607068e-02,1.732794719740885295e-02,8.642182871476368489e-03,5.112830400081706111e-03,2.116493952978245469e-03,5.582761818119392214e-04,2.129516509428216325e-04,8.533529329101272802e-05,4.431556449532121286e-05,9.659383823343030591e-04,2.422565418096672739e-04,9.614884365434525171e-05,4.214369149277108993e-05,2.364076535867271674e-05,8.067943161243281043e-04,2.066918393699597987e-04,8.619196271768485675e-05,3.961797809659888209e-05,2.281429163552300439e-05
4.119999999999999774e-01,1.246393322427429839e-01,7.610835270663743324e-02,4.815808242509440895e-02,2.804956666943563687e-02,1.788332275583467967e-02,8.489766268501641733e-02,4.134666804454942973e-02,2.299548322399982275e-02,1.219664634336984320e-02,7.399067553820099646e-03,6.474369563100913771e-02,2.810394805552888370e-02,1.487212349526183253e-02,7.673579004482353541e-03,4.601538894201866702e-03,3.327895636848727245e-01,1.891264191641110759e-01,8.670054337190531701e-02,3.861013262281515895e-02,2.134446659013990860e-02,1.102532376889293342e-01,5.975537267840933670e-02,2.929946169111898729e-02,1.409792589976720419e-02,8.194757766027816262e-03,6.500274886902428217e-02,3.390624538728332499e-02,1.731581530361877425e-02,8.641350832558703302e-03,5.113610657101857505e-03,2.115268027059971894e-03,5.584248785039553102e-04,2.129357706797014324e-04,8.535582613482416343e-05,4.435015887452756840e-05,9.679163509725960185e-04,2.434120439141989169e-04,9.667617378860500141e-05,4.240264263952084030e-05,2.379589348051291525e-05,8.099331528115011770e-04,2.083826777794244749e-04,8.702446009397206178e-05,4.003363175078808374e-05,2.306196787183967947e-05
4.129999999999999782e-01,1.251232727304704140e-01,7.630334564890781102e-02,4.823808101654178393e-02,2.807486197587939769e-02,1.789130314025169990e-02,8.515542669836853595e-02,4.140615634197761935e-02,2.301112303288987276e-02,1.219934159993527230e-02,7.399143650841185152e-03,6.489742991820833529e-02,2.812725408969927315e-02,1.487550850816763900e-02,7.672930332885154886e-03,4.600561935591108466e-03,3.316300086235982603e-01,1.887739296667486355e-01,8.660073440831414504e-02,3.858369471809459939e-02,2.133680159756503117e-02,1.099100937076543105e-01,5.963199553971425954e-02,2.926887995111391444e-02,1.409269791722519809e-02,8.194245250132521641e-03,6.488104277325536240e-02,3.385797439802320369e-02,1.730539472334824760e-02,8.640769780421820451e-03,5.114418173293598137e-03,2.112696899758620319e-03,5.585428916168150813e-04,2.129839858652771947e-04,8.540292665403870567e-05,4.439243238208229127e-05,9.693096079679359902e-04,2.444745445658348670e-04,9.718492390427141696e-05,4.265692554170733437e-05,2.394845977342220018e-05,8.125479917203802397e-04,2.099722914211531069e-04,8.782697738281045031e-05,4.043882791265447044e-05,2.330428932020672095e-05
4.139999999999999791e-01,1.255641699364384856e-01,7.648059184596173177e-02,4.831069402165229232e-02,2.809779791339663685e-02,1.789853671946085856e-02,8.539066831905883781e-02,4.146017986888680951e-02,2.302525170162869964e-02,1.220174064598954049e-02,7.399180669721125772e-03,6.503741750701212687e-02,2.814825925060325529e-02,1.487846167554655874e-02,7.672271341331877298e-03,4.599629590176426003e-03,3.302933153642815811e-01,1.884197008487835112e-01,8.650983435261776211e-02,3.856055772952985544e-02,2.133017242995029206e-02,1.095140919393212675e-01,5.950613529122107670e-02,2.923958335178085052e-02,1.408793230834663214e-02,8.193839556157385406e-03,6.473110554462314925e-02,3.380714575449079995e-02,1.729492588060983077e-02,8.640191701696633281e-03,5.115191536459354205e-03,2.109006004032348315e-03,5.587869795495114091e-04,2.130821247502374472e-04,8.545361578252978123e-05,4.443302222895216519e-05,9.700662727714852007e-04,2.454620238685955788e-04,9.767235220379258875e-05,4.290037204756509128e-05,2.409424134143663235e-05,8.144875292989582020e-04,2.114246667518212218e-04,8.858101348536465104e-05,4.082333884644177575e-05,2.353503573219842382e-05
4.149999999999999800e-01,1.259461737763328260e-01,7.663361717372257909e-02,4.837319766985336000e-02,2.811751792546685752e-02,1.790476184919429295e-02,8.559557674912836311e-02,4.150695095491795106e-02,2.303741081748265571e-02,1.220376906349739284e-02,7.399178812016798598e-03,6.515916877896266168e-02,2.816628846987558055e-02,1.488088730082810091e-02,7.671620780455187111e-03,4.598768877351077679e-03,3.291948211499541310e-01,1.881196845521062033e-01,8.643138389178399439e-02,3.854059711193755927e-02,2.132450647343764674e-02,1.091930376399642272e-01,5.940101618066985500e-02,2.921482121660834777e-02,1.408395382212586540e-02,8.193563782541334745e-03,6.461405131099928756e-02,3.376607312290135637e-02,1.728658236059152364e-02,8.639905340203275080e-03,5.115960727603149731e-03,2.103689110543846812e-03,5.590174892895645713e-04,2.132451072256135967e-04,8.552232515836378818e-05,4.447611642817592365e-05,9.700315327735428358e-04,2.463371081896430725e-04,9.812791293350276540e-05,4.312723681991491759e-05,2.422942868363208777e-05,8.156755026666021079e-04,2.126990962692285416e-04,8.926804658633915625e-05,4.117719108076525367e-05,2.374800960178064069e-05
4.159999999999999809e-01,1.262520045639201061e-01,7.675636491252885163e-02,4.842315278854819605e-02,2.813325220844247604e-02,1.790974008880953650e-02,8.576214436496371052e-02,4.154489705041989472e-02,2.304721891403068920e-02,1.220537105669229627e-02,7.399143142144244678e-03,6.525828856709255110e-02,2.818079710316058473e-02,1.488272943306923404e-02,7.671006313988875877e-03,4.598009048853365054e-03,3.279736633721717642e-01,1.878380332324139923e-01,8.636804118542970587e-02,3.852562988209481259e-02,2.132037825102361950e-02,1.088349998651413353e-01,5.929971169677302617e-02,2.919286088462633502e-02,1.408067832618856846e-02,8.193412552085639969e-03,6.447362822190823295e-02,3.372475443399396838e-02,1.727866789543552536e-02,8.639637380297987904e-03,5.116652474293594162e-03,2.096858673894857507e-03,5.590264954967614705e-04,2.134521647216864747e-04,8.562491324758976638e-05,4.453039713046217095e-05,9.691316367330437068e-04,2.470538521670181649e-04,9.854505699889389882e-05,4.333583951389646734e-05,2.435193489997484028e-05,8.159630840003244444e-04,2.137438418040545399e-04,8.987023825754310812e-05,4.149167055553529217e-05,2.393749887502537391e-05
4.169999999999999818e-01,1.264659258126321628e-01,7.684287087439958808e-02,4.845827770245852983e-02,2.814432629352285609e-02,1.791327218472861527e-02,8.588289571747030615e-02,4.157246574558019075e-02,2.305431189652867863e-02,1.220649845868888861e-02,7.399081419052315478e-03,6.533064522303157207e-02,2.819125874147941635e-02,1.488394003776182320e-02,7.670457988176613770e-03,4.597380089240058788e-03,3.269918860255777715e-01,1.876260352047895152e-01,8.632393986005326703e-02,3.851585871083430812e-02,2.131781448956845265e-02,1.085506631589711474e-01,5.922278414099082372e-02,2.917668718203331873e-02,1.407842855444848065e-02,8.193414758907627271e-03,6.436232314456648285e-02,3.369380775487420404e-02,1.727303896837112732e-02,8.639623962832262624e-03,5.117285520366222397e-03,2.088297141325079053e-03,5.582547756479485377e-04,2.134012807870680744e-04,8.564934829908769757e-05,4.455761995672521188e-05,9.672874236577576898e-04,2.474813396738416503e-04,9.887246991952805195e-05,4.350912836076354626e-05,2.445473855751384220e-05,8.153212032217789593e-04,2.144855854237723563e-04,9.035702056450400021e-05,4.175394033016584960e-05,2.409649301313850046e-05
4.179999999999999827e-01,1.265705798686010963e-01,7.688659837378739037e-02,4.847587104884980291e-02,2.814988204910671976e-02,1.791509256974389841e-02,8.594989816296676188e-02,4.158809861231978211e-02,2.305832170692481004e-02,1.220710079269498455e-02,7.399000546786643068e-03,6.537195877460702520e-02,2.819717520315557363e-02,1.488448032809391516e-02,7.670007924834226082e-03,4.596912508599982315e-03,3.259338854809580854e-01,1.874536731249465127e-01,8.630217010137487821e-02,3.851309334252800420e-02,2.131737847005343162e-02,1.082422794321806631e-01,5.915584979763149898e-02,2.916503964356433054e-02,1.407721426178130258e-02,8.193589154708991532e-03,6.423092188135609559e-02,3.366462531121838797e-02,1.726830110439507918e-02,8.639654305348659635e-03,5.117802224662498962e-03,2.078532607590264682e-03,5.566180594914638818e-04,2.131299831955206026e-04,8.563255915993709842e-05,4.457315169926014310e-05,9.645296099961238106e-04,2.475018555735137432e-04,9.905862020738491957e-05,4.363045781044623067e-05,2.453115341192505945e-05,8.136770568057323820e-04,2.148310036340440377e-04,9.068717374701104898e-05,4.194808339060611901e-05,2.421712033746960878e-05
4.189999999999999836e-01,1.265496640758048130e-01,7.688063869726782795e-02,4.847313405334680025e-02,2.814906487922008704e-02,1.791494341706037843e-02,8.595540474845053680e-02,4.159001410482408845e-02,2.305879477177219528e-02,1.220710526823368808e-02,7.398901451264193810e-03,6.537799376125902340e-02,2.819794664726515965e-02,1.488427941812081948e-02,7.669680738606002648e-03,4.596634909721714242e-03,3.251207196487254092e-01,1.873681889044165605e-01,8.630695422878573164e-02,3.851765257578305957e-02,2.131913548252397164e-02,1.080078414680363807e-01,5.911789213618504069e-02,2.916081065714385551e-02,1.407736507101203793e-02,8.193967312649359444e-03,6.412568013449213011e-02,3.364698435511088298e-02,1.726625041873104324e-02,8.639971948082881062e-03,5.118225422092527281e-03,2.068113011794325828e-03,5.541746650356337098e-04,2.126681519983281805e-04,8.558611079991171604e-05,4.457954748156340864e-05,9.609963324093317083e-04,2.470396261362997137e-04,9.906646107773082197e-05,4.368786274386668732e-05,2.457593922191682117e-05,8.111317935450337033e-04,2.147119652634905008e-04,9.082208508887510616e-05,4.205866473004582441e-05,2.429168476702823180e-05
