wavelength,a_Ci_2_Deff_0_4,a_Ci_2_Deff_0_5,a_Ci_2_Deff_0_7,a_Ci_2_Deff_0_9,a_Ci_5_Deff_0_4,a_Ci_5_Deff_0_5,a_Ci_5_Deff_0_7,a_Ci_5_Deff_0_9,a_Ci_8_Deff_0_4,a_Ci_8_Deff_0_5,a_Ci_8_Deff_0_7,a_Ci_8_Deff_0_9,b_Ci_2_Deff_0_4,b_Ci_2_Deff_0_5,b_Ci_2_Deff_0_7,b_Ci_2_Deff_0_9,b_Ci_5_Deff_0_4,b_Ci_5_Deff_0_5,b_Ci_5_Deff_0_7,b_Ci_5_Deff_0_9,b_Ci_8_Deff_0_4,b_Ci_8_Deff_0_5,b_Ci_8_Deff_0_7,b_Ci_8_Deff_0_9,bb_Ci_2_Deff_0_4,bb_Ci_2_Deff_0_5,bb_Ci_2_Deff_0_7,bb_Ci_2_Deff_0_9,bb_Ci_5_Deff_0_4,bb_Ci_5_Deff_0_5,bb_Ci_5_Deff_0_7,bb_Ci_5_Deff_0_9,bb_Ci_8_Deff_0_4,bb_Ci_8_Deff_0_5,bb_Ci_8_Deff_0_7,bb_Ci_8_Deff_0_9
4.099999999999999756e-01,1.348877990130960269e-01,1.339909354201105074e-01,1.315174276717618607e-01,1.285168667411238919e-01,1.210830497197053490e-01,1.178035187553027330e-01,1.111463167954019754e-01,1.047547361580609543e-01,1.119994042915165994e-01,1.071357818971841736e-01,9.804909406567627328e-02,9.002388042617481823e-02,1.210311475650417690e-01,1.506999353628235838e-01,2.029623031649886722e-01,2.455626383411815827e-01,4.928008926385080146e-02,6.006299747711244669e-02,7.782005681041244405e-02,9.106557738442176697e-02,3.378143203791207638e-02,4.043355020530785965e-02,5.070399890300128498e-02,5.769609554893325581e-02,2.848743907399823184e-03,3.078994982700573087e-03,3.304213097603375324e-03,3.291580016578025524e-03,1.369907614870628440e-03,1.466937467977996604e-03,1.541169970149707967e-03,1.504211818358233916e-03,1.153341616618563286e-03,1.227098166268403160e-03,1.269654259738389702e-03,1.222567858262295793e-03
4.109999999999999765e-01,1.371063578562439211e-01,1.361559401507474731e-01,1.335673925203146317e-01,1.304501058269938729e-01,1.230378522569599009e-01,1.196358501670165553e-01,1.127548264566659020e-01,1.061712465825318530e-01,1.137116982299187645e-01,1.086900366403808493e-01,9.933667768148632393e-02,9.110192246038792407e-02,1.205303831360830941e-01,1.500470738090448342e-01,2.020119518198082442e-01,2.443448607635063385e-01,4.921556535725288978e-02,5.995488429125208490e-02,7.760997139410291679e-02,9.074998434864930963e-02,3.388827151968791529e-02,4.053093265369012849e-02,5.075672277649320718e-02,5.768899729056536224e-02,2.843000240899061157e-03,3.072411212422084415e-03,3.297097185811849549e-03,3.284752707176419144e-03,1.379162376694536207e-03,1.476740301045643532e-03,1.551339949577431113e-03,1.514143206225804575e-03,1.170756694664912192e-03,1.245434635848261754e-03,1.288289103356163442e-03,1.240360100290661656e-03
4.119999999999999774e-01,1.393987450901153502e-01,1.383917313428959239e-01,1.356821707044290060e-01,1.324425692234036667e-01,1.250506324637779554e-01,1.215204747160609638e-01,1.144060173947396009e-01,1.076228725203364767e-01,1.154703240941662712e-01,1.102840374429708836e-01,1.006538405480358056e-01,9.220233924101695067e-02,1.198960279049812866e-01,1.492306567262864092e-01,2.008477513619499888e-01,2.428757501537942287e-01,4.910969390478873292e-02,5.979652289379112917e-02,7.733501787437868646e-02,9.035906597714005173e-02,3.397851411192306242e-02,4.060774540210276146e-02,5.078215226412930577e-02,5.764977464945414409e-02,2.837247374927848523e-03,3.066057838966202570e-03,3.290477584776401766e-03,3.278524068864169250e-03,1.388999800158308238e-03,1.487253336257246452e-03,1.562331987244600226e-03,1.524902910357403465e-03,1.189059110752308706e-03,1.264749392645441459e-03,1.307954245830180058e-03,1.259145798480104878e-03
4.129999999999999782e-01,1.417652333037245360e-01,1.406984226341072564e-01,1.378614343482306714e-01,1.344934905117313728e-01,1.271208679489262972e-01,1.234566714518023633e-01,1.160987704803314591e-01,1.091081974925234566e-01,1.172743998414776112e-01,1.119167525377104122e-01,1.019992995510080463e-01,9.332371063651972998e-02,1.193833483207861340e-01,1.485613308127339827e-01,1.998710266015410464e-01,2.416214645782657766e-01,4.905627469849925537e-02,5.970018730389787392e-02,7.713614474491614637e-02,9.005265637917614363e-02,3.410627832312534274e-02,4.072776479215647893e-02,5.085822240560657070e-02,5.766481775420779360e-02,2.832099037158219892e-03,3.060139836952239633e-03,3.284074179183133282e-03,3.272384730910266049e-03,1.399702164362235475e-03,1.498607835658257760e-03,1.574101402103219921e-03,1.536362284772876821e-03,1.208481867615609964e-03,1.285184800705032205e-03,1.328683746200213373e-03,1.278903752640556503e-03
4.139999999999999791e-01,1.441987326132093128e-01,1.430690152144185046e-01,1.400985694813459137e-01,1.365967314162598034e-01,1.292423274377573761e-01,1.254385011066264100e-01,1.178278516564554707e-01,1.106226704840273800e-01,1.191182708491470704e-01,1.135829526674122236e-01,1.033687001952692391e-01,9.446243529412443052e-02,1.187605912108768424e-01,1.477572825923462174e-01,1.987182407282377938e-01,2.401603108568990119e-01,4.897048804549931217e-02,5.956449520272243808e-02,7.688642521452941636e-02,8.968720020956125194e-02,3.422260152189567084e-02,4.083336427037337346e-02,5.091471763014886187e-02,5.765653764047069113e-02,2.827008951391595925e-03,3.054489590500194390e-03,3.278171569780249754e-03,3.266836539500471599e-03,1.411021625922864470e-03,1.510695448498896492e-03,1.586703026785554532e-03,1.548654771086385501e-03,1.228813230568838802e-03,1.306610434209416185e-03,1.350444822997748416e-03,1.299652154930067355e-03
4.149999999999999800e-01,1.466991085168265485e-01,1.455032449706315789e-01,1.423929409685491809e-01,1.387512880409087768e-01,1.314142482071150864e-01,1.274650427668658770e-01,1.195920263163570696e-01,1.121648330543287136e-01,1.210009114579347067e-01,1.152815079584274538e-01,1.047607424676233190e-01,9.561713619028780475e-02,1.182435580116310142e-01,1.470811097115827526e-01,1.977286154304438714e-01,2.388863379192364966e-01,4.893137033820821324e-02,5.948397997004990778e-02,7.670439065712497673e-02,8.939698815817954947e-02,3.437293200827754025e-02,4.097803103134505659e-02,5.101685262689051314e-02,5.769709565187353811e-02,2.822509896261119963e-03,3.049290938254295077e-03,3.272538913428650175e-03,3.261451511466710411e-03,1.423206100017039566e-03,1.523635384684189414e-03,1.600105868916971248e-03,1.561677170546219755e-03,1.250259124789516270e-03,1.329154550286222982e-03,1.373272489181286658e-03,1.321378012137543146e-03
4.159999999999999809e-01,1.492598269718461435e-01,1.479946490324796360e-01,1.447384310957650633e-01,1.409514802255892596e-01,1.336308298578147702e-01,1.295307831246706454e-01,1.213864600748467693e-01,1.137305016279548248e-01,1.229170724481601085e-01,1.170075845044058205e-01,1.061714328306180011e-01,9.678453528408892392e-02,1.176338118431242835e-01,1.462915497070883808e-01,1.965909955386125896e-01,2.374386340390800265e-01,4.886650514154787517e-02,5.937214966903292535e-02,7.648189663422155782e-02,8.905983140678243315e-02,3.451554253201217365e-02,4.111271551818212328e-02,5.110499366881390143e-02,5.772071540413506452e-02,2.818122743951614450e-03,3.044392086111116866e-03,3.267414963108971216e-03,3.256656665630370835e-03,1.436032847821580799e-03,1.537324866348728069e-03,1.614347837081757777e-03,1.575535814855947127e-03,1.272626101527759949e-03,1.352693486149331376e-03,1.397127529623990241e-03,1.344087033421586131e-03
4.169999999999999818e-01,1.518805010502264907e-01,1.505427281157649400e-01,1.471342182738790416e-01,1.431961688242914255e-01,1.358911648712140541e-01,1.316346913211112746e-01,1.232098787846591659e-01,1.153182372030582409e-01,1.248656239538428747e-01,1.187599919387398451e-01,1.075994850883879861e-01,9.796332122157538902e-02,1.171176546120652612e-01,1.456152767032130313e-01,1.955981531607644264e-01,2.361572958231212827e-01,4.884387773516589426e-02,5.931025378170799028e-02,7.632067972617609386e-02,8.879087377149356974e-02,3.468938266452297609e-02,4.128319109895033784e-02,5.123481573441988207e-02,5.778888376634680468e-02,2.814319204445493976e-03,3.039960607298591595e-03,3.262605230699812571e-03,3.252084090145870507e-03,1.449723614270232537e-03,1.551873551037102504e-03,1.629407545959903622e-03,1.590145894930341045e-03,1.296099329140140699e-03,1.377344385042748951e-03,1.422045078780233675e-03,1.367771786385002519e-03
4.179999999999999827e-01,1.545549116799496137e-01,1.531413585025379609e-01,1.495745411039911266e-01,1.454800270346553459e-01,1.381898212900593004e-01,1.337716244478829308e-01,1.250578056108014036e-01,1.169241917920763735e-01,1.268416912328202972e-01,1.205342658653871524e-01,1.090412483313199093e-01,9.915052592265868880e-02,1.165221412924670741e-01,1.448420584036578806e-01,1.944790213456469574e-01,2.347279349804106685e-01,4.880055523032847398e-02,5.922318669480845788e-02,7.612695971104213588e-02,8.848426819849818104e-02,3.485825114616386555e-02,4.144696031068453856e-02,5.135477086230118282e-02,5.784485145344967633e-02,2.810671696479697095e-03,3.035856856277813817e-03,3.258313180322040814e-03,3.248102792234083564e-03,1.464073869245025332e-03,1.567181834341400178e-03,1.645308791120772248e-03,1.605591865804635631e-03,1.320498222724618507e-03,1.402987625628540798e-03,1.447979943561837233e-03,1.392427483326467074e-03
4.189999999999999836e-01,1.572825558620457032e-01,1.557899321982571250e-01,1.520584999108779700e-01,1.478018737359523271e-01,1.405258220675665859e-01,1.359405123670734128e-01,1.269289850006031783e-01,1.185469912107347812e-01,1.288441279129587669e-01,1.223292335617465754e-01,1.104955093494054130e-01,1.003449472154880895e-01,1.160106733544356561e-01,1.441706752482691256e-01,1.934902902129891633e-01,2.334487229686333931e-01,4.879593268543881007e-02,5.918186919333243839e-02,7.598940816343545401e-02,8.824025673393418034e-02,3.505604077624745879e-02,4.164379371413407666e-02,5.151310930760585188e-02,5.794179597764192308e-02,2.807603980518779980e-03,3.032235384282115555e-03,3.254372447192785574e-03,3.244391338504497551e-03,1.479284681527417815e-03,1.583351546887584683e-03,1.662037157390216201e-03,1.621802685730498739e-03,1.345991556315019599e-03,1.429731397168189236e-03,1.474966983766500634e-03,1.418050633606110413e-03
